query_id	llm_lean
1116	luas Jepang brp ya
1198	Uni Eropa anggotanya brp dong
1239	smartphone itu telepon genggam gak sih
1088	kendaraan yg punya mesin pembakaran dalam apa aja sih
1158	jumlah pahlawan nasional di Indonesia brp ya
1006	artefak itu maksudnya apa sih
1252	masjid istiqlal letaknya dimana ya
1130	kenapa meninggalnya mgr arnold verstraelen sih
1082	populasi pemeluk agama islam di Indonesi taun 2010 brp sih
1266	para samurai itu siapa sih
1407	internet diciptakan kapan sih
1374	kekaisaran romawi berkuasa brp lama sih
1450	Jagatara Oharu lahir kapan sih
1559	filmfare pertama diselenggarakan taun brp sih
1410	hari kemerdekaan republik albania kapan sih
1725	alat komunikasi sebelum telepon namanya apa sih
19	karya tulis Irma Hardisurya yg pertama apa sih
1731	paul david hewson gabung u2 umur brp nih
1858	kabupaten bangka selatan luasnya brp ya
1854	siapa yg dikenal sebagai bapak ekonomi sih
1905	australia diperingati di selandia baru kapan ya
1913	wrekodara itu apa sih
1911	dna itu pengertian apa sih
1769	menstruasi knp terjadi sih
1928	di dalam tatasurya jumlah planet brp sih
1956	minuman beralkohol khas rusia apa sih
2001	hewab amfibi maksudnya apa sih
2148	ilmu ekonomi pertama dipelajari kapan sih
203	norma hukum itu yg dimaksud apa sih
21	dna ditemukan sama siapa sih
2035	gelar adipati maknanya apa sih
2154	pemberontakan petani akhir dinasti sui knp sih
2233	tempat ibadah yahudi namanya apa ya
2188	prof dr johannes baptista sumarlin jabatan apa nih
220	hewan tercepat di dunia itu apa sih
2898	tuak nira di indonesia diproduksi dimana sih
2161	jarak tempuh penerbangan jakarta raja ampat brp ya
2262	zhangsun wuji dilahirkan di mana sih
2843	albert einstein filsuf berasal dari jerman sih
2919	bahasa kekaisaran persia akhaimenia apa sih
2965	candi cangkuang luasnya brp sih
298	uskup itu maksudnya apa sih
2987	ilmu biologi ditemukan kapan sih
3046	transistor itu apa sih
3071	luas maluku utara brp sih
310	General Electric Transportation pendirinya siapa ya
3042	venezuela negara bagian brp gan
3084	sungai nil dilintasi brp negara sih
316	bilangan genap ga sih
3110	partai politik pertama di Indonesia apa sih
3119	ibukota korea utara apa ya
3121	pemasaran internasional bisa sebabin kenaikan harga gak
3212	italia jadi negara republik kapan sih
3213	song jieun lahir dimana sih
3227	tokoh utama dragon ball siapa nih
3452	siapa sih ki tjokrowasito
3254	penyakit yg nyerang gandum nama apa sih
3482	seni modern dimulai sama siapa sih
3406	kesultanan utsmaniyah didirikan kapan nih
3273	moritz kaposi nemuin sarkoma kaposi tahun brp ya
3472	hari pancasila diperingati kapan ya
358	siaran tv tertua di Indonesia apa sih
3620	bahasa yunani tertua di dunia ga sih
361	enzim restriksi bersifat asam sih
3609	sekuel harry potter brp cuy
3662	hari kemerdekaan Ukraina kapan
3616	ritus suriah timur dilakuin kapan ya
3696	warna bendera india apa sih
367	hadist pengertiannya apa sih
324	penegak hukum di indonesia siapa sih
3767	atom maksudnya apa sih
3731	luas kabupaten klungkung brp ya
3892	karotenoid itu maksudnya apa sih
3930	pencipta roket pertama kali siapa sih
3917	pendiri majalah bobo siapa sih
3779	tabel periodik tu maksudnya apa sih
3787	dr moewardi lulus dari STOVIA kapan sih
3969	ibu bolesław i chrobry siapa ya
3984	alamat ip pertama kali diperkenalkan di komputer kapan sih
3992	ibukota Vietnam apa ya
4198	kabupaten kepulauan meranti luas brp sih
4031	vokalis the police siapa woy
4183	Samaun Bakri berasal dari mana ya
4217	Republik Ghana luas brp sih
4168	atom ditemukan kapan sih
389	ilmu astronomi pengertiannya apa sih
4387	kabupaten trenggalek luas brp sih
4332	luas Jepang brp sih
4436	Filipina luasnya brp sih
4232	org minangkabau anut agama apa sih
4362	satelit ke luar angkasa pertama dikirim negara mana nih
4603	kampanye Guadalkanal terjadi dimana sih
4608	mata uang yg dipakai di Yunani apa ya
4574	Kekhalifahan Abbasiyah pemimpin pertama siapa sih
4600	joko widodo punya anak brp nih
4358	siapa aja yg terlibat proyek SOI ASIA sih
4677	istana osaka didirikan kapan sih
4797	gerakan angkatan muda kristen indonesia didirikan kapan sih
4733	tempat peribadatan agama Buddha namanya apa sih
4589	ordo mendikan maksudnya apa sih
