query_id,formal_ndcg@10,formal_recall@100,formal_mrr@10,informal_ndcg@10,informal_recall@100,informal_mrr@10,normalized_ndcg@10,normalized_recall@100,normalized_mrr@10,llm_ndcg@10,llm_recall@100,llm_mrr@10,formal_vs_informal,formal_vs_normalized,formal_vs_llm
1006,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.7654,0.6667,1.0,0.1815,0.6667,0.2,0.9948,0.9944,0.8498
1082,0.6934,1.0,0.5,1.0,1.0,1.0,0.9197,1.0,1.0,0.4228,1.0,0.1667,0.9522,0.9664,0.9088
1088,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.3109,0.8571,0.5,0.0795,0.4286,0.1,0.9892,0.9941,0.8832
1116,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9595,0.9638,0.7873
1130,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.4693,0.3333,1.0,0.9963,0.9954,0.9506
1158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6309,1.0,0.5,0.9632,0.9665,0.9139
1198,0.3869,1.0,0.5,0.3869,1.0,0.5,0.3869,1.0,0.5,0.0,0.0,0.0,0.9766,0.9766,0.7935
1239,0.4066,0.7692,0.3333,0.3764,0.6923,0.25,0.3128,0.6923,0.25,0.1763,0.3077,0.3333,0.9898,0.9929,0.8608
1252,0.3904,1.0,1.0,0.3904,1.0,1.0,0.3904,1.0,1.0,0.0,0.0,0.0,0.988,0.9921,0.8699
1266,0.4944,0.9,1.0,0.4252,1.0,1.0,0.4252,1.0,1.0,0.3301,0.6,1.0,0.9591,0.9626,0.915
1374,0.2529,0.375,1.0,0.2529,0.25,1.0,0.2529,0.25,1.0,0.2529,0.125,1.0,0.9812,0.9864,0.8582
1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9934,0.9938,0.9503
1410,0.3066,1.0,0.3333,0.3869,1.0,0.5,0.3869,1.0,0.5,0.6131,0.5,1.0,0.9453,0.9492,0.9587
1450,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9606,0.9632,0.9157
1559,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9898,0.9915,0.837
1725,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9889,0.9936,0.9874
1731,0.4307,1.0,0.25,0.4307,1.0,0.25,0.4307,1.0,0.25,0.0,0.0,0.0,0.9759,0.9764,0.847
1769,0.363,1.0,0.5,0.3445,1.0,0.5,0.446,1.0,1.0,0.0,0.1429,0.0,0.9516,0.9615,0.8847
1854,0.5438,1.0,0.3333,0.6053,1.0,0.5,0.5912,1.0,0.5,0.0,0.5,0.0,0.9821,0.9844,0.8876
1858,0.9469,1.0,1.0,0.9675,1.0,1.0,0.9675,1.0,1.0,0.9469,1.0,1.0,0.963,0.9659,0.9256
19,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.9953,0.9953,0.9582
1905,0.2044,1.0,0.1429,0.0,1.0,0.0,0.1772,1.0,0.1,0.1772,1.0,0.1,0.9704,0.9739,0.9676
1911,0.142,0.8,0.1667,0.1488,0.8,0.2,0.1546,0.8,0.2,0.0,0.0,0.0,0.9806,0.9814,0.8287
1913,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9435,0.9457,0.7935
1928,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9809,0.9851,0.8672
1956,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.4693,0.6667,1.0,0.0,0.3333,0.0,0.9843,0.9851,0.8922
2001,0.482,1.0,0.25,0.6608,1.0,0.5,0.6608,1.0,0.5,0.0,0.0,0.0,0.887,0.8912,0.8339
203,0.3904,0.75,1.0,0.5135,0.75,1.0,0.5079,0.75,1.0,0.0,0.25,0.0,0.9724,0.9797,0.8546
2035,0.6678,1.0,1.0,0.769,1.0,1.0,0.7609,1.0,1.0,0.6269,0.875,1.0,0.9893,0.9931,0.9016
21,0.1934,1.0,0.125,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.9584,0.9585,0.8312
2148,1.0,1.0,1.0,0.6309,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.3333,0.9847,0.9872,0.9512
2154,0.2346,1.0,0.3333,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.3333,0.0,0.9227,0.9247,0.8819
2161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9571,0.9593,0.825
2188,0.8772,1.0,1.0,0.8772,1.0,1.0,0.8772,1.0,1.0,0.3066,1.0,0.3333,0.9953,0.9877,0.9077
220,0.5,1.0,0.3333,0.5,1.0,0.3333,0.5,1.0,0.3333,0.2891,1.0,0.1,0.9937,0.9945,0.9077
2233,0.2918,0.8571,0.5,0.2798,0.8571,0.5,0.3109,0.8571,0.5,0.1711,0.7143,0.1429,0.9959,0.9973,0.9042
2262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9887,0.989,0.866
2843,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.2891,1.0,0.1,0.9918,0.9915,0.9218
2898,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.962,0.9624,0.892
2919,0.8503,1.0,1.0,0.8316,1.0,1.0,0.8316,1.0,1.0,0.8316,1.0,1.0,0.9746,0.975,0.9726
2965,0.9829,1.0,1.0,0.5294,1.0,1.0,0.7157,1.0,1.0,0.0,0.5,0.0,0.9027,0.9377,0.858
298,0.3967,0.5556,1.0,0.3771,0.5556,1.0,0.2224,0.5556,0.5,0.0,0.0,0.0,0.9406,0.9375,0.89
2987,0.4084,0.8889,0.5,0.2624,0.7778,0.3333,0.3405,0.8889,0.5,0.1621,0.5556,0.1667,0.9532,0.9939,0.9428
3042,0.5,1.0,0.3333,1.0,1.0,1.0,0.3869,1.0,0.2,0.0,0.0,0.0,0.8972,0.9671,0.8054
3046,0.4441,0.8,1.0,0.4226,0.8,1.0,0.4284,0.8,1.0,0.0,0.1,0.0,0.9765,0.9929,0.8187
3071,0.2372,1.0,0.2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8873,0.8873,0.7908
3084,0.7757,1.0,1.0,0.1232,0.5,0.125,0.6367,0.75,1.0,0.0,0.0,0.0,0.8539,0.8929,0.8142
310,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9531,0.9748,0.9375
3110,0.6131,1.0,1.0,0.6131,0.5,1.0,0.6131,1.0,1.0,0.6131,0.5,1.0,0.9919,0.9944,0.968
3119,0.3585,1.0,0.25,0.0,0.3333,0.0,0.2021,1.0,0.25,0.0,0.3333,0.0,0.8274,0.9528,0.8646
3121,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9396,0.9635,0.8646
316,0.7582,0.8,1.0,0.6601,0.8,1.0,0.6601,0.8,1.0,0.252,0.6,0.2,0.9759,0.9745,0.9122
3212,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5938,1.0,0.5,0.9685,0.97,0.8862
3213,1.0,1.0,1.0,0.6309,1.0,0.5,0.6309,1.0,0.5,0.0,0.0,0.0,0.9544,0.9554,0.8609
3227,0.693,1.0,1.0,0.6629,1.0,1.0,0.7484,1.0,1.0,0.7638,1.0,1.0,0.9744,0.9779,0.9237
324,0.5087,0.6,1.0,0.0,0.2,0.0,0.1696,0.4,0.3333,0.1696,0.6,0.3333,0.8927,0.9139,0.8786
3254,0.5925,0.75,0.5,0.1391,0.75,0.1667,0.2983,1.0,0.25,0.1301,0.75,0.1429,0.9364,0.9463,0.9257
3273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6131,1.0,1.0,0.9224,0.9857,0.841
3406,0.5,1.0,0.3333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9843,0.9845,0.9556
3452,1.0,1.0,1.0,0.5,1.0,0.3333,0.5,1.0,0.3333,0.0,0.0,0.0,0.9404,0.9406,0.8287
3472,0.5585,0.75,1.0,0.5585,0.75,1.0,0.5585,0.75,1.0,0.0,0.5,0.0,0.987,0.9882,0.8981
3482,0.1357,0.3333,0.1,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.9839,0.9893,0.8555
