query_id	llm	llm_normalized	llm_lean	llm_lean_normalized
1088	mesin pembakaran dalam nih di kendaraan apa aja biasanya ada sih	mesin pembakaran dalam nih di kendaraan apa saja biasanya ada sih	kendaraan yg punya mesin pembakaran dalam apa aja sih	kendaraan yang punya mesin pembakaran dalam apa saja sih
1082	tahun 2010 populasi pemeluk agama islam di indonesia brp sih anjir	tahun 2010 populasi pemeluk agama islam di indonesia berapa sih anjir	populasi pemeluk agama islam di Indonesi taun 2010 brp sih	populasi pemeluk agama islam di indonesia tahun 2010 berapa sih
1198	uni eropa anggotanya brp ya gaes penasaran nih	uni eropa anggotanya berapa ya guys penasaran nih	Uni Eropa anggotanya brp dong	Uni Eropa anggotanya berapa dong
1006	artefak itu maksudnya apaan sih gw bingung	artefak itu maksudnya apaan sih gue bingung	artefak itu maksudnya apa sih	artefak itu maksudnya apa sih
1116	jepang luas brp ya lagi kepo nih	jepang luas berapa ya lagi ingin tahu nih	luas Jepang brp ya	luas Jepang berapa ya
1239	smartphone sama telepon genggam itu sebenernya sama apa beda anjir	smartphone sama telepon genggam itu sebenarnya sama apa beda anjir	smartphone itu telepon genggam gak sih	smartphone itu telepon genggam enggak sih
1158	pahlawan nasional di indonesia jumlah brp ya kok	pahlawan nasional di indonesia jumlah berapa ya kok	jumlah pahlawan nasional di Indonesia brp ya	jumlah pahlawan nasional di Indonesia berapa ya
1130	mgr. arnold verstraelen meninggal karena apa sih	mgr . arnold verstraelen meninggal karena apa sih	kenapa meninggalnya mgr arnold verstraelen sih	kenapa meninggalnya mgr arnold verstraelen sih
1266	para samurai itu siapa sih anjir	para samurai itu siapa sih anjir	para samurai itu siapa sih	para samurai itu siapa sih
1410	republik albania hari kemerdekaan kapan sih	republik albania hari kemerdekaan kapan sih	hari kemerdekaan republik albania kapan sih	hari kemerdekaan republik albania kapan sih
1252	masjid istiqlal nih lokasinya ada di mana ya gan	masjid istiqlal nih lokasinya ada di mana ya juragan	masjid istiqlal letaknya dimana ya	masjid istiqlal letaknya dimana ya
1407	internet itu diciptakan kapan sih anjir	internet itu diciptakan kapan sih anjir	internet diciptakan kapan sih	internet diciptakan kapan sih
1450	jagatara oharu lahir kapan sih gan	jagatara oharu lahir kapan sih juragan	Jagatara Oharu lahir kapan sih	Jagatara Oharu lahir kapan sih
1559	filmfare pertama diselenggarakan taun brp sih gan	filmfare pertama diselenggarakan tahun berapa sih juragan	filmfare pertama diselenggarakan taun brp sih	filmfare pertama diselenggarakan tahun berapa sih
1725	alat komunikasi sebelum ditemukannya telepon itu namanya apa sih	alat komunikasi sebelum ditemukannya telepon itu namanya apa sih	alat komunikasi sebelum telepon namanya apa sih	alat komunikasi sebelum telepon namanya apa sih
1374	kekaisaran romawi udah berkuasa brp lama sih	kekaisaran romawi sudah berkuasa berapa lama sih	kekaisaran romawi berkuasa brp lama sih	kekaisaran romawi berkuasa berapa lama sih
1731	paul david hewson sama U2 nih dia gabung umur brp anjir	paul david hewson sama U2 nih dia gabung umur berapa anjir	paul david hewson gabung u2 umur brp nih	paul david hewson gabung u2 umur berapa nih
1858	kabupaten bangka selatan luasnya brp ya gan	kabupaten bangka selatan luasnya berapa ya juragan	kabupaten bangka selatan luasnya brp ya	kabupaten bangka selatan luasnya berapa ya
1769	menstruasi nih penyebabnya apa sih anjir	menstruasi nih penyebabnya apa sih anjir	menstruasi knp terjadi sih	menstruasi kenapa terjadi sih
1913	wrekodara itu apaan sih gue baru denger nih	wrekodara itu apaan sih gue baru dengar nih	wrekodara itu apa sih	wrekodara itu apa sih
1905	Australia diperingati di Selandia Baru itu kapan sih	Australia diperingati di Selandia Baru itu kapan sih	australia diperingati di selandia baru kapan ya	australia diperingati di selandia baru kapan ya
1928	tatasurya isinya brp planet anjir	tatasurya isinya berapa planet anjir	di dalam tatasurya jumlah planet brp sih	di dalam tatasurya jumlah planet berapa sih
1854	bapak ekonomi nih siapa sih yg dikenal sebagai bapak ekonomi ya gan	bapak ekonomi nih siapa sih yang dikenal sebagai bapak ekonomi ya juragan	siapa yg dikenal sebagai bapak ekonomi sih	siapa yang dikenal sebagai bapak ekonomi sih
19	karya tulis pertama irma hardisurya itu apa sih	karya tulis pertama irma hardisurya itu apa sih	karya tulis Irma Hardisurya yg pertama apa sih	karya tulis Irma Hardisurya yang pertama apa sih
1911	dna itu sebenernya apaan sih cuy	dna itu sebenarnya apaan sih coy	dna itu pengertian apa sih	dna itu pengertian apa sih
1956	minuman beralkohol khas Rusia itu ada gak sih cuy	minuman beralkohol khas Rusia itu ada enggak sih coy	minuman beralkohol khas rusia apa sih	minuman beralkohol khas rusia apa sih
2001	hewab amfibi itu apaan sih sebenernya gimana hidupnya antara darat sama air gitu kaga jelas anjir	hewab amfibi itu apaan sih sebenarnya bagaimana hidupnya antara darat sama air begitu kagak jelas anjir	hewab amfibi maksudnya apa sih	hewab amfibi maksudnya apa sih
203	norma hukum itu sebenernya maksudnya apa sih anjir	norma hukum itu sebenarnya maksudnya apa sih anjir	norma hukum itu yg dimaksud apa sih	norma hukum itu yang dimaksud apa sih
2035	gelar adipati maksudnya apaan sih gan	gelar adipati maksudnya apaan sih juragan	gelar adipati maknanya apa sih	gelar adipati maknanya apa sih
2188	prof dr johannes baptista sumarlin jabatannya apa ya gan	prof dari johannes baptista sumarlin jabatannya apa ya juragan	prof dr johannes baptista sumarlin jabatan apa nih	prof dari johannes baptista sumarlin jabatan apa nih
