query_id	lexicon
1006	apaan yg dimaksud dgn Artefak ?
1082	Berapa populasi pemeluk agama islam di Indonesi tahun 2010?
1088	Di kendaraan apakah dapet ditemukan mesin pembakaran dalam?
1116	berapakah luas  Jepang ?
1130	apa penyebab kematian Mgr. Arnold Verstraelen ?
1158	berapakah jumlah Pahlawan Nasional di Indonesia?
1198	Berapa jumlah negara anggota Uni Eropa?
1239	Apakah smartphone adalah telepon genggam?
1252	Dimana letak masjid Istiqlal?
1266	Siapa tuh para samurai ?
1374	Berapa lama Kekaisaran Romawi berkuasa?
1407	kapankah internet di ciptakan?
1410	Kapan hari kemerdekaan Republik Albania?
1450	Kapan Jagatara Oharu lahir?
1559	Tahun berapa Filmfare pertama diselenggarakan ?
1725	Apakah nama alat komunikasi sebelum ditemukannya telepon ?
1731	Pada umur berapa Paul David Hewson bergabung ama U2?
1769	apa penyebab menstruasi?
1854	Siapakah yang dikenal sebagai bapak ekonomi ?
1858	Berapa luas Kabupaten Bangka Selatan?
19	Apakah karya tulis Irma Hardisurya yang pertama?
1905	Kapan Australia diperingati di Selandia Baru?
1911	Apakah pengertian DNA ?
1913	apaan tuh Wrekodara?
1928	Berapa jumlah planet di dalam tatasurya?
1956	apakah minuman beralkohol khas Rusia?
2001	apa yg dimaksud ama hewab amfibi?
203	Apakah yang dimaksud dgn norma hukum?
2035	apa makna dari gelar Adipati ?
21	Siapakah yang menemukan DNA ?
2148	Kapan ilmu ekonomi pertama dipelajari?
2154	apaan yg menyebabkan terjadinya pemberontakan petani pada akhir Dinasti Sui?
2161	Berapa lama jarak tempuh penerbangan Jakarta-Raja Ampat ?
2188	Apakah jabatan Prof. Dr. Johannes Baptista Sumarlin?
220	apakah hewan tercepat di dunia?
2233	Apakah nama tempat ibadah Yahudi ?
2262	dimankah Zhangsun Wuji dilahirkan?
2843	Apakah Albert Einstein‎ filsuf berasal dari Jerman?
2898	Dimana Tuak nira diproduksi di Indonesia?
2919	Apakah bahasa Kekaisaran Persia Akhaimenia?
2965	Berapa luas wilayah Candi Cangkuang?
298	apakah yang di maksud ama uskup?
2987	Kapan ilmu biologi ditemukan ?
3042	Berapa negara bagian di Venezuela?
3046	apa tuh transistor?
3071	berapakah luas Maluku Utara?
3084	berapakah jumlah negara yang di lintasi Sungai Nil?
310	Siapa pendiri General Electric Transportation?
3110	apaan partai politik pertama di Indonesia ?
