query_id	formal	informal
1006	Apa yang dimaksud dengan Artefak ?	Apa maksudnya Artefak?
1082	Berapa populasi pemeluk agama islam di Indonesi tahun 2010?	Jumlah pemeluk agama islam di Indonesia di tahun 2010 brp?
1088	Di kendaraan apakah dapat ditemukan mesin pembakaran dalam?	Di kendaraan apa yang dpt ditemuin mesin pembakaran dalam?
1116	berapakah luas  Jepang ?	brpkah luas Jepang?
1130	Apa penyebab kematian Mgr. Arnold Verstraelen ?	Apa penyebab Mgr. Arnold Verstraelen mati?
1158	berapakah jumlah Pahlawan Nasional di Indonesia?	pahlawan nasional indonesia ada berapa?
1198	Berapa jumlah negara anggota Uni Eropa?	jumlah negara anggota uni eropa ada berapa
1239	Apakah smartphone adalah telepon genggam?	smartphone itu telepon genggam?
1252	Dimana letak masjid Istiqlal?	letak masjid istiqlal dimana?
1266	Siapa itu para samurai ?	samurai itu siapa?
1374	Berapa lama Kekaisaran Romawi berkuasa?	kekaisaran romawi berapa lama berkuasa?
1407	kapankah internet di ciptakan?	internet kapan diciptain?
1410	Kapan hari kemerdekaan Republik Albania?	republik albania kapan merdeka?
1450	Kapan Jagatara Oharu lahir?	jagatara oharu kapan lahir?
1559	Tahun berapa Filmfare pertama diselenggarakan ?	filmfare pertama diselenggarakan tahun berapa?
1725	Apakah nama alat komunikasi sebelum ditemukannya telepon ?	nama alat komunikasi sebelum ditemukan telepon itu apa?
1731	Pada umur berapa Paul David Hewson bergabung dengan U2?	Paul David Hewson bergabung sama U2 diumur berapa?
1769	Apa penyebab menstruasi?	napa ada menstruasi?
1854	Siapakah yang dikenal sebagai bapak ekonomi ?	yang dikenal bapak ekonomi itu siapa ya?
1858	Berapa luas Kabupaten Bangka Selatan?	seberapa luas kabupaten bangka selatan?
19	Apakah karya tulis Irma Hardisurya yang pertama?	apa karya tulis pertama Irma Hardisurya?
1905	Kapan Australia diperingati di Selandia Baru?	australia diperingati di selandia baru kapan?
1911	Apakah pengertian DNA ?	DNA itu apa?
1913	Apa itu Wrekodara?	wrekodora apa itu?
1928	Berapa jumlah planet di dalam tatasurya?	planet di tatasurya ada berapa?
1956	apakah minuman beralkohol khas Rusia?	minuman alkohol khas rusia apa?
2001	Apa yang dimaksud dengan hewab amfibi?	hewan amfibi itu apa?
203	Apakah yang dimaksud dengan norma hukum?	norma hukum itu apa?
2035	Apa makna dari gelar Adipati ?	gelar Adipati artinya apa?
21	Siapakah yang menemukan DNA ?	yang temuin DNA siapa ya?
2148	Kapan ilmu ekonomi pertama dipelajari?	ilmu ekonomi kapan mulai dipelajari?
