query_id,cosine,formal,llm_lean
559,0.8267,tahun berapakah SWA didirikan?,swa didirikan taun brp sih
4198,0.8296,Berapa luas Kabupaten Kepulauan Meranti?,kabupaten kepulauan meranti luas brp sih
3084,0.8297,berapakah jumlah negara yang di lintasi Sungai Nil?,sungai nil dilintasi brp negara sih
3071,0.8452,berapakah luas Maluku Utara?,luas maluku utara brp sih
3273,0.8464,Tahun berapa Moritz Kaposi menemukan Sarkoma Kaposi?,moritz kaposi nemuin sarkoma kaposi tahun brp ya
4600,0.8469,berapakah jumlah anak Joko Widodo?,joko widodo punya anak brp nih
2965,0.8481,Berapa luas wilayah Candi Cangkuang?,candi cangkuang luasnya brp sih
1731,0.8509,Pada umur berapa Paul David Hewson bergabung dengan U2?,paul david hewson gabung u2 umur brp nih
1559,0.8587,Tahun berapa Filmfare pertama diselenggarakan ?,filmfare pertama diselenggarakan taun brp sih
1198,0.8588,Berapa jumlah negara anggota Uni Eropa?,Uni Eropa anggotanya brp dong
316,0.8606,Apakah bilangan genap?,bilangan genap ga sih
1374,0.8615,Berapa lama Kekaisaran Romawi berkuasa?,kekaisaran romawi berkuasa brp lama sih
4701,0.8627,Kapan kekaisaran Romawi Timur runtuh?,kekaisaran romawi timur runtuh taun brp sih
4232,0.8648,apakah agama yang di anut oleh orang Minangkabau ?,org minangkabau anut agama apa sih
3042,0.8651,Berapa negara bagian di Venezuela?,venezuela negara bagian brp gan
2154,0.8705,Apa yang menyebabkan terjadinya pemberontakan petani pada akhir Dinasti Sui?,pemberontakan petani akhir dinasti sui knp sih
6085,0.8776,Siapa yang dimaksud dengan orang-orang Majus ?,orang-orang majus itu siapa sih
60,0.8778,Kapan Paus Benediktus XV lahir ?,paus benediktus xv lahir kapan ya
3609,0.8817,berapakah sekuel Harry Potter ?,sekuel harry potter brp cuy
506,0.8823,Berapa luas Maluku Utara ?,Maluku Utara luasnya brp nih
5503,0.8837,Dimana letak Suku Anak Dalam ?,suku anak dalam letaknya dimana nih
3779,0.8885,Apa yang dimaksud dengan tabel periodik ?,tabel periodik tu maksudnya apa sih
4436,0.8930,berapakah luas Filipina?,Filipina luasnya brp sih
3616,0.8947,Kapan Ritus Suriah Timur dilakukan?,ritus suriah timur dilakuin kapan ya
1928,0.8950,Berapa jumlah planet di dalam tatasurya?,di dalam tatasurya jumlah planet brp sih
567,0.8958,Kapan D. Afonso Henriques lahir?,d afonso henriques lahir kapan ya
4919,0.8982,berapakah luas Jambi ?,luas jambi brp gan
5980,0.8990,Berapa luas Kabupaten Kolaka Utara?,luas kabupaten kolaka utara brp dong
4217,0.9003,Berapa luas Republik Ghana?,Republik Ghana luas brp sih
1082,0.9027,Berapa populasi pemeluk agama islam di Indonesi tahun 2010?,populasi pemeluk agama islam di Indonesi taun 2010 brp sih
4677,0.9030,Kapan Istana Osaka didirikan?,istana osaka didirikan kapan sih
3121,0.9042,Apakah Pemasaran Internasional dapat menyebabkan kenaikan harga?,pemasaran internasional bisa sebabin kenaikan harga gak
4690,0.9057,Apa yang dimaksud dengan Molekul?,molekul itu maksudnya apa sih
2188,0.9083,Apakah jabatan Prof. Dr. Johannes Baptista Sumarlin?,prof dr johannes baptista sumarlin jabatan apa nih
5278,0.9118,Apa nomor atom Karbon?,nomor atom karbon brp sih
21,0.9144,Siapakah yang menemukan DNA ?,dna ditemukan sama siapa sih
4358,0.9145,Siapakah yang terlibat dalam proyek SOI ASIA?,siapa aja yg terlibat proyek SOI ASIA sih
