query_id	strong_norm	heavy	heavy_normalized
1006	Apa yang dimaksud dengan artefak?	artefak tu maksudnya apaan dah? ada yg tau ga	artefak itu maksudnya apaan deh ? ada yang tau enggak
1082	Berapa jumlah pemeluk agama Islam di Indonesia pada tahun 2010?	gaes yg tau dong, org islam di indo taun 2010 tuh ada brp sih jumlahnya	guys yang tau dong , orang islam di indonesia tahun 2010 itu ada berapa sih jumlahnya
1088	Pada kendaraan apa mesin pembakaran dalam dapat ditemukan?	mesin pembakaran dalam tuh biasanya ada di kendaraan apaan ya cuy	mesin pembakaran dalam itu biasanya ada di kendaraan apaan ya coy
1116	Berapa luas negara Jepang?	jepang tuh luasnya brp sih gan	jepang itu luasnya berapa sih juragan
1130	Apa penyebab kematian Mgr. Arnold Verstraelen?	mgr arnold verstraelen tuh matinya gara2 apaan sih	mgr arnold verstraelen itu matinya gara-gara apaan sih
1158	Berapa jumlah pahlawan nasional di Indonesia?	btw pahlawan nasional indo tuh totalnya ada brp org ya	by the way pahlawan nasional indonesia itu totalnya ada berapa orang ya
1198	Berapa jumlah negara anggota Uni Eropa?	uni eropa anggotanya brp negara dah skrg	uni eropa anggotanya berapa negara deh sekarang
1239	Apakah smartphone termasuk telepon genggam?	smartphone tuh sama aja kyk hp genggam bukan sih	smartphone itu sama saja kayak handphone genggam bukan sih
1252	Di mana letak Masjid Istiqlal?	masjid istiqlal tuh dmn sih letaknya gan	masjid istiqlal itu dimana sih letaknya juragan
1266	Siapa yang disebut samurai?	samurai tuh sbnrnya siapa sih cuy	samurai itu sebenarnya siapa sih coy
1374	Berapa lama Kekaisaran Romawi berkuasa?	kekaisaran romawi tuh berkuasanya brp lama dah	kekaisaran romawi itu berkuasanya berapa lama deh
1407	Kapan internet diciptakan?	internet tuh pertama kali dibikin kpn sih	internet itu pertama kali dibuat kapan sih
1410	Kapan Republik Albania merdeka?	albania merdekanya kpn dah, ada yg tau?	albania merdekanya kapan deh , ada yang tau ?
1450	Kapan Jagatara Oharu lahir?	si jagatara oharu tuh lahirnya kpn ya	sih jagatara oharu itu lahirnya kapan ya
1559	Pada tahun berapa Filmfare pertama diselenggarakan?	filmfare yg first time tuh taun brp ya diadainnya	filmfare yang first time itu tahun berapa ya diadainnya
1725	Apa nama alat komunikasi sebelum telepon ditemukan?	dulu sblm ada telepon org komunikasi pake alat apaan sih namanya	dulu sebelum ada telepon orang komunikasi pakai alat apaan sih namanya
1731	Pada umur berapa Paul David Hewson bergabung dengan U2?	paul david hewson join U2 pas umur brp dah	paul david hewson join U2 pas umur berapa deh
1769	Apa penyebab terjadinya menstruasi?	knp sih cewe bisa mens? penyebabnya apaan	kenapa sih cewek bisa menstruasi ? penyebabnya apaan
1854	Siapa yang dikenal sebagai bapak ekonomi?	yg dijuluki bapak ekonomi tuh sapa sih gaes	yang dijuluki bapak ekonomi itu sapa sih guys
1858	Berapa luas Kabupaten Bangka Selatan?	kab bangka selatan tuh luasnya brp sih	kabupaten bangka selatan itu luasnya berapa sih
19	Apakah karya tulis pertama dari Irma Hardisurya?	karya tulis pertamanya irma hardisurya tuh apaan ya	karya tulis pertamanya irma hardisurya itu apaan ya
1905	Kapan Hari Australia diperingati di Selandia Baru?	hari australia tuh dirayainnya kpn dah di selandia baru	hari australia itu dirayainnya kapan deh di selandia baru
1911	Apa pengertian DNA?	DNA tuh apaan sih sbnrnya	DNA itu apaan sih sebenarnya
1913	Apa itu Wrekodara?	wrekodara tuh apaan dah, ada yg tau ga	wrekodara itu apaan deh , ada yang tau enggak
1928	Berapa jumlah planet di dalam tata surya?	planet di tata surya tuh totalnya brp biji sih	planet di tata surya itu totalnya berapa biji sih
1956	Apa minuman beralkohol khas Rusia?	minuman alkohol khasnya org rusia tuh apaan sih	minuman alkohol khasnya orang rusia itu apaan sih
2001	Apa yang dimaksud dengan hewan amfibi?	hewan amfibi tuh yg kyk gmn sih maksudnya	hewan amfibi itu yang kayak bagaimana sih maksudnya
203	Apa yang dimaksud dengan norma hukum?	norma hukum tuh apaan dah pengertiannya	norma hukum itu apaan deh pengertiannya
2035	Apa makna dari gelar Adipati?	gelar adipati tuh artinya apaan sih cuy	gelar adipati itu artinya apaan sih coy
21	Siapa yang menemukan DNA?	DNA tuh first time ditemuin sama sapa dah	DNA itu first time ditemukan sama sapa deh
2148	Kapan ilmu ekonomi pertama kali dipelajari?	ilmu ekonomi tuh mulai dipelajarin org sejak kpn sih	ilmu ekonomi itu mulai dipelajarin orang sejak kapan sih
2154	Mengapa petani memberontak pada akhir Dinasti Sui?	knp dah petani pd berontak pas akhir2 dinasti sui	kenapa deh petani pada berontak pas akhir akhir dinasti sui
2161	Berapa lama waktu tempuh penerbangan Jakarta-Raja Ampat?	naik pesawat dr jakarta ke raja ampat tuh brp jam sih	naik pesawat dari jakarta ke raja ampat itu berapa jam sih
2188	Apa jabatan Prof. Dr. Johannes Baptista Sumarlin?	si johannes baptista sumarlin tuh jabatannya apaan dah	sih johannes baptista sumarlin itu jabatannya apaan deh
220	Apa hewan tercepat di dunia?	hewan yg paling ngebut sedunia tuh apaan cuy	hewan yang paling ngebut sedunia itu apaan coy
2233	Apa nama tempat ibadah agama Yahudi?	tempat ibadahnya org yahudi tuh namanya apaan sih	tempat ibadahnya orang yahudi itu namanya apaan sih
2262	Di mana Zhangsun Wuji dilahirkan?	zhangsun wuji tuh lahirnya dmn dah	zhangsun wuji itu lahirnya dimana deh
2843	Apakah Albert Einstein merupakan filsuf yang berasal dari Jerman?	einstein tuh beneran filsuf asal jerman bukan sih	einstein itu benaran filsuf asal jerman bukan sih
2898	Di mana tuak nira diproduksi di Indonesia?	tuak nira tuh di indo bikinnya dmn aja dah	tuak nira itu di indonesia buatannya dimana saja deh
2919	Bahasa apa yang digunakan Kekaisaran Persia Akhaimenia?	org persia akhaimenia zaman dulu ngomongnya pake bahasa apaan sih	orang persia akhaimenia zaman dulu mengomongnya pakai bahasa apaan sih
2965	Berapa luas wilayah Candi Cangkuang?	candi cangkuang tuh luas wilayahnya brp sih gan	candi cangkuang itu luas wilayahnya berapa sih juragan
298	Apa yang dimaksud dengan uskup?	uskup tuh apaan dah sbnrnya	uskup itu apaan deh sebenarnya
2987	Kapan ilmu biologi ditemukan?	biologi tuh mulai ada sejak kpn sih cuy	biologi itu mulai ada sejak kapan sih coy
3042	Berapa jumlah negara bagian di Venezuela?	venezuela tuh negara bagiannya ada brp dah	venezuela itu negara bagiannya ada berapa deh
3046	Apa itu transistor?	transistor tuh barang apaan sih gaes	transistor itu barang apaan sih guys
3071	Berapa luas Maluku Utara?	malut tuh luasnya brp sih	malut itu luasnya berapa sih
3084	Berapa jumlah negara yang dilintasi Sungai Nil?	sungai nil tuh ngelewatin brp negara dah totalnya	sungai nil itu ngelewatin berapa negara deh totalnya
310	Siapa pendiri General Electric Transportation?	general electric transportation tuh yg ngediriin sapa dah	general electric transportation itu yang ngediriin sapa deh
3110	Apa partai politik pertama di Indonesia?	parpol pertama di indo tuh apaan sih namanya	partai politik pertama di indonesia itu apaan sih namanya
3119	Apa ibu kota Korea Utara?	ibukotanya korut tuh apaan dah	ibukotanya korea utara itu apaan deh
3121	Apakah pemasaran internasional dapat menyebabkan kenaikan harga?	bener ga sih pemasaran internasional bikin harga2 pd naik	benar enggak sih pemasaran internasional bikin harga harga pada naik
316	Apa yang dimaksud dengan bilangan genap?	bilangan genap tuh yg gmn dah maksudnya	bilangan genap itu yang bagaimana deh maksudnya
3212	Kapan Italia menjadi negara republik?	italia tuh jd republik sejak kpn sih	italia itu jadi republik sejak kapan sih
3213	Di mana Song Jieun lahir?	song jieun tuh lahirnya dmn dah	song jieun itu lahirnya dimana deh
3227	Siapa tokoh utama dalam Dragon Ball?	main character dragon ball tuh sapa sih	main character dragon ball itu sapa sih
324	Siapa saja penegak hukum di Indonesia?	yg tugasnya negakin hukum di indo tuh sapa aja dah	yang tugasnya negakin hukum di indonesia itu sapa saja deh
3254	Apa nama penyakit yang menyerang gandum?	penyakit yg suka nyerang tanaman gandum tuh namanya apaan sih	penyakit yang suka menyerang tanaman gandum itu namanya apaan sih
3273	Pada tahun berapa Moritz Kaposi menemukan Sarkoma Kaposi?	si moritz kaposi nemuin sarkoma kaposi tuh taun brp dah	sih moritz kaposi menemukan sarkoma kaposi itu tahun berapa deh
3406	Kapan Kesultanan Utsmaniyah didirikan?	kesultanan utsmaniyah tuh berdirinya taun brp sih cuy	kesultanan utsmaniyah itu berdirinya tahun berapa sih coy
3452	Siapakah Ki Tjokrowasito?	ki tjokrowasito tuh sapa dah orangnya	ki tjokrowasito itu sapa deh orangnya
3472	Kapan Hari Pancasila diperingati?	hari pancasila tuh tgl brp sih diperingatinnya	hari pancasila itu tanggal berapa sih diperingatinnya
3482	Siapa yang memulai seni modern?	seni modern tuh yg pertama mulai sapa dah	seni modern itu yang pertama mulai sapa deh
358	Apa siaran TV tertua di Indonesia?	siaran tv plg jadul di indo tuh apaan sih	siaran televisi pulang jadul di indonesia itu apaan sih
3609	Berapa jumlah sekuel Harry Potter?	harry potter tuh sekuelnya ada brp biji dah	harry potter itu sekuelnya ada berapa biji deh
361	Apakah enzim restriksi bersifat asam?	enzim restriksi tuh sifatnya asam apa bukan dah	enzim restriksi itu sifatnya asam apa bukan deh
3616	Kapan Ritus Suriah Timur dilakukan?	ritus suriah timur tuh biasanya dilakuin kpn sih	ritus suriah timur itu biasanya dilakukan kapan sih
3620	Apakah bahasa Yunani merupakan bahasa tertua di dunia?	katanya bahasa yunani tuh plg tua sedunia, beneran ga sih	katanya bahasa yunani itu pulang tua sedunia , benaran enggak sih
3662	Kapan hari kemerdekaan Ukraina?	ukraina tuh merdekanya kpn dah	ukraina itu merdekanya kapan deh
367	Apa pengertian dari hadis?	hadist tuh apaan sih pengertiannya gaes	hadis itu apaan sih pengertiannya guys
3696	Apa saja warna bendera India?	bendera india tuh warnanya apaan aja dah	bendera india itu warnanya apaan saja deh
3731	Berapa luas Kabupaten Klungkung?	kab klungkung tuh luasnya brp sih	kabupaten klungkung itu luasnya berapa sih
3767	Apa yang dimaksud dengan atom?	atom tuh sbnrnya apaan dah	atom itu sebenarnya apaan deh
3779	Apa yang dimaksud dengan tabel periodik?	tabel periodik tuh apaan sih gaes	tabel periodik itu apaan sih guys
3787	Kapan Dr. Moewardi lulus dari STOVIA?	dr moewardi tuh lulus dr stovia taun brp dah	dari moewardi itu lulus dari stovia tahun berapa deh
389	Apa pengertian ilmu astronomi?	astronomi tuh ilmu ttg apaan sih	astronomi itu ilmu tentang apaan sih
3892	Apa yang dimaksud dengan karotenoid?	karotenoid tuh apaan dah, ada yg ngerti ga	karotenoid itu apaan deh , ada yang mengerti enggak
3917	Siapa pendiri Majalah Bobo?	majalah bobo tuh yg ngediriin sapa sih dulu	majalah tidur itu yang ngediriin sapa sih dulu
3930	Siapa pencipta roket pertama kali?	roket tuh first time diciptain sm sapa dah	roket itu first time diciptain sama sapa deh
3969	Siapa ibu dari Boleslaw I Chrobry?	nyokapnya boleslaw I chrobry tuh sapa sih	nyokapnya boleslaw I chrobry itu sapa sih
3984	Kapan alamat IP pertama kali diperkenalkan pada komputer?	IP address tuh first time dipake di komputer kpn dah	IP address itu first time dipakai di komputer kapan deh
