query_id	llm
1116	Jepang luasnya berapa sih?
1006	artefak itu maksudnya apa sih?
1088	mesin pembakaran dalam biasanya ada di kendaraan apa sih?
1082	berapa populasi pemeluk agama islam di Indonesia tahun 2010 nih?
1158	jumlah Pahlawan Nasional di Indonesia itu ada berapa sih?
1198	Uni Eropa itu anggotanya ada berapa negara sih?
1130	penyebab kematian Mgr. Arnold Verstraelen apa sih?
1239	smartphone itu telepon genggam gak sih?
1266	para samurai itu siapa sih?
1374	Kekaisaran Romawi berkuasa berapa lama sih?
1252	masjid istiqlal ada di mana sih?
1407	internet itu diciptain kapan sih?
1410	hari kemerdekaan Republik Albania kapan sih?
1450	Jagatara Oharu lahir kapan sih?
1559	Filmfare pertama diselenggarain tahun berapa sih?
1725	alat komunikasi apa yg dipake sebelum telepon ada sih?
1769	menstruasi itu disebabin apa sih?
1731	si Paul David Hewson gabung U2 pas umur berapa sih?
1858	luas Kabupaten Bangka Selatan berapa sih?
19	karya tulis Irma Hardisurya yg pertama apa sih?
1854	siapa sih yg dikenal sebagai bapak ekonomi?
1905	Australia diperingati di Selandia Baru itu kapan sih?
1911	DNA itu apa sih sebenernya?
1913	Wrekodara itu apaan sih?
1956	minuman beralkohol khas Rusia apa sih?
1928	di tatasurya ada berapa planet sih?
203	norma hukum itu maksudnya apa sih?
21	siapa yang nemuin DNA sih?
2001	hewab amfibi itu maksudnya apa sih?
2035	gelar Adipati itu maksudnya apa sih?
2148	ilmu ekonomi pertama kali dipelajari kapan sih?
2161	berapa lama sih waktu tempuh penerbangan Jakarta ke Raja Ampat?
2154	pemberontakan petani di akhir Dinasti Sui itu kejadian karena apa sih?
2188	Prof. Dr. Johannes Baptista Sumarlin jabatan apa sih?
220	hewan tercepat di dunia tuh apa sih?
2262	Zhangsun Wuji lahirnya di mana sih?
2233	tempat ibadahnya orang Yahudi namanya apa sih?
2843	Albert Einstein yang disebut filsuf itu asalnya dari Jerman gak sih?
2898	tuak nira diproduksi di mana sih di Indonesia?
2965	luas wilayah Candi Cangkuang itu berapa sih?
2919	bahasa Kekaisaran Persia itu bahasa Akhaimenia gak sih?
298	uskup itu maksudnya apa sih?
2987	ilmu biologi tuh ditemukan kapan sih?
3042	di Venezuela ada berapa negara bagian sih?
3071	luas Maluku Utara berapa sih?
3046	transistor itu apaan sih?
3084	Sungai Nil dilintasin berapa negara sih?
3110	partai politik pertama di Indonesia tuh yang mana sih?
310	General Electric Transportation didirikan sama siapa sih?
3119	ibukota Korea Utara apa sih?
3121	pemasaran internasional bisa bikin harga naik gak sih?
3212	Italia jadi negara republik kapan sih?
316	bilangan ini genap gak sih?
3213	Song Jieun lahir di mana sih?
3227	tokoh utama di Dragon Ball itu siapa sih?
324	siapa sih penegak hukum di Indonesia?
3254	penyakit apa sih yg nyerang gandum?
3273	Moritz Kaposi nemuin Sarkoma Kaposi taun berapa sih?
3406	Kesultanan Utsmaniyah didirikan kapan sih?
3452	Ki Tjokrowasito itu siapa sih?
3472	Hari Pancasila diperingatinya kapan sih?
3482	siapa sih yg mulaiin seni modern?
3609	Harry Potter punya berapa sekuel sih?
358	siaran TV tertua di Indonesia itu apa sih?
361	enzim restriksi itu bersifat asam gak sih?
3616	Ritus Suriah Timur dilaksanain kapan sih?
3620	bahasa Yunani itu bahasa tertua di dunia nggak sih?
3696	bendera India warnanya apa sih?
3662	hari kemerdekaan Ukraina dirayain kapan sih?
367	hadist tuh pengertiannya apa sih?
3779	tabel periodik itu maksudnya apa sih?
3731	luas Kabupaten Klungkung berapa sih?
3767	atom itu maksudnya apa sih?
3787	Dr. Moewardi lulus dari STOVIA kapan sih?
389	ilmu astronomi itu apa sih?
3917	siapa sih pendiri Majalah Bobo?
3930	siapa sih yg pertama kali nyiptain roket?
3984	alamat IP pertama kali dikenalin ke komputer kapan sih?
3892	karotenoid itu maksudnya apa sih?
3969	ibu Bolesław I Chrobry itu siapa sih?
3992	ibukota Vietnam apa sih?
4031	vokalis grup The Police siapa sih?
4168	kapan sih atom pertama kali ditemukan?
4183	Samaun Bakri asalnya dari mana sih?
4198	luas Kabupaten Kepulauan Meranti itu berapa sih?
4217	luas Republik Ghana berapa sih?
4232	orang Minangkabau menganut agama apa sih?
4254	internet ditemukan kapan sih?
4332	Jepang luasnya berapa sih?
4362	negara mana sih yang pertama kali ngirim satelit ke luar angkasa?
4387	luas Kabupaten Trenggalek berapa sih?
4436	luas Filipina itu berapa sih?
4358	siapa aja yg terlibat di proyek SOI ASIA nih?
4589	ordo mendikan tuh maksudnya apaan sih?
4574	pemimpin pertama Kekhalifahan Abbasiyah itu siapa sih?
4600	Joko Widodo punya berapa anak sih?
4608	mata uang yg dipake di Yunani apa sih?
4677	Istana Osaka didirikan kapan sih?
4603	Kampanye Guadalkanal itu kejadian di mana sih?
4690	molekul tu maksudnya apa sih?
4701	kapan Kekaisaran Romawi Timur runtuh sih?
4733	tempat peribadatan agama Buddha namanya apa sih?
4779	ibukota Australia namanya apa sih?
4797	Gerakan Angkatan Muda Kristen Indonesia didirikan kapan sih?
4816	Bayezid I lahir kapan sih?
4889	luas wilayah Tolitoli berapa sih?
4919	luas Jambi itu berapa sih?
4962	minamoto no yoritomo meninggal kapan sih?
5003	kantor pusat Sinar Harapan ada di mana sih?
5245	negara mana sih yg paling banyak make Bahasa Sanskerta?
5210	bahasa apa sih yg paling banyak dipake di Afganistan?
506	luas Maluku Utara berapa sih?
5253	Imagawa Yoshimoto meninggal kapan sih?
5278	nomor atom karbon berapa sih?
5352	serial drama Prison Break ada berapa season sih?
5286	siapa sih yg mendirikan Pondok Pesantren Pabelan?
5370	Toy Story pertama dirilis kapan sih?
5372	seorang filsuf itu sebenernya apa sih?
5503	Suku Anak Dalam itu tinggal di mana sih?
555	aroma bahan koktail itu berasal dari buah nggak sih?
5557	jamur shiitake asalnya dari mana sih?
5567	luas Kabupaten Brebes, Jawa Tengah berapa sih?
5583	gereja tertua di dunia letaknya di mana sih?
5586	negara terkecil di Eropa namanya apa sih?
559	SWA didirikan taun berapa sih?
568	ayah Sultan Mansur Syah itu siapa sih?
567	D. Afonso Henriques lahir kapan sih?
5706	siapa sih pencipta serial Transformers?
5719	karya pertama Turbo itu apa sih?
5861	logaritma itu apaan sih?
5811	sistem pemerintahan Mesir tuh gimana sih?
5980	luas Kabupaten Kolaka Utara berapa sih?
5971	bilangan pecahan itu apaan sih?
60	Paus Benediktus XV lahir kapan sih?
6021	tembok berlin dibangun kapan sih?
6085	orang-orang Majus itu maksudnya siapa sih?
6052	populasi penganut Kristen di Indonesia tahun 2010 itu berapa sih?
6087	cahaya itu lebih cepat dari suara gak sih?
613	Uskup Roma itu maksudnya apa sih?
662	bendera Norwegia warnanya apa sih?
706	agama kristen dibawa ke Indonesia sama siapa sih?
679	qere dan ketiv itu apaan sih?
713	di Jerman pake mata uang apa sih?
736	wilayah kekuasaan Dinasti Utsmaniyah itu ada di mana sih?
79	siapa yg menang balapan Formula 1 pertama sih?
78	Provinsi Bangka Belitung didirikan kapan sih?
746	Samudera Pasifik luasnya berapa sih?
849	Ghana Airways dihentikan gara-gara apa sih?
830	luas kota Cirebon berapa sih?
919	frekuensi audio itu maksudnya apa sih?
